"";"X_id";"algorithm";"edges";"graphRepresentation";"graphType";"instance";"machine";"nodes";"runtime";"threads";"timestamp"
"51";52;"paraBFS";299945;"vector";"barabasi";"030k.edges";"joshua";30000;6,067093;8;"2018-08-29 12:23:11"
"52";53;"paraBFS";399945;"vector";"barabasi";"040k.edges";"joshua";40000;5,72416;16;"2018-08-29 12:23:15"
"53";54;"paraBFS";399945;"vector";"barabasi";"040k.edges";"joshua";40000;7,411166;12;"2018-08-29 12:23:16"
"54";55;"paraBFS";399945;"vector";"barabasi";"040k.edges";"joshua";40000;11,008959;8;"2018-08-29 12:23:19"
"55";56;"paraBFS";499945;"vector";"barabasi";"050k.edges";"joshua";50000;9,764674;16;"2018-08-29 12:23:24"
"56";57;"paraBFS";499945;"vector";"barabasi";"050k.edges";"joshua";50000;12,033738;12;"2018-08-29 12:23:27"
"57";58;"paraBFS";9945;"vector";"barabasi";"001k.edges";"joshua";1000;0,007345;20;"2018-08-29 12:23:54"
"58";59;"paraBFS";19945;"vector";"barabasi";"002k.edges";"joshua";2000;0,016764;20;"2018-08-29 12:23:54"
"59";60;"paraBFS";39945;"vector";"barabasi";"004k.edges";"joshua";4000;0,063264;20;"2018-08-29 12:23:54"
"60";61;"paraBFS";79945;"vector";"barabasi";"008k.edges";"joshua";8000;0,245045;20;"2018-08-29 12:23:54"
"61";62;"paraBFS";99945;"vector";"barabasi";"010k.edges";"joshua";10000;0,414887;20;"2018-08-29 12:23:54"
"62";63;"paraBFS";199945;"vector";"barabasi";"020k.edges";"joshua";20000;1,475273;20;"2018-08-29 12:23:55"
"63";64;"paraBFS";499945;"vector";"barabasi";"050k.edges";"joshua";50000;17,907302;8;"2018-08-29 12:23:34"
"64";65;"paraBFS";299945;"vector";"barabasi";"030k.edges";"joshua";30000;3,185324;20;"2018-08-29 12:23:57"
"65";66;"paraBFS";599945;"vector";"barabasi";"060k.edges";"joshua";60000;14,532209;16;"2018-08-29 12:23:40"
"66";67;"paraBFS";399945;"vector";"barabasi";"040k.edges";"joshua";40000;6,562405;20;"2018-08-29 12:24:02"
"67";68;"paraBFS";599945;"vector";"barabasi";"060k.edges";"joshua";60000;17,810303;12;"2018-08-29 12:23:46"
"68";69;"paraBFS";499945;"vector";"barabasi";"050k.edges";"joshua";50000;7,612157;20;"2018-08-29 12:24:12"
"69";70;"paraBFS";699945;"vector";"barabasi";"070k.edges";"joshua";70000;18,479829;16;"2018-08-29 12:24:04"
"70";71;"paraBFS";599945;"vector";"barabasi";"060k.edges";"joshua";60000;26,544605;8;"2018-08-29 12:23:58"
"71";72;"paraBFS";599945;"vector";"barabasi";"060k.edges";"joshua";60000;13,201942;20;"2018-08-29 12:24:26"
"72";73;"paraBFS";699945;"vector";"barabasi";"070k.edges";"joshua";70000;23,751337;12;"2018-08-29 12:24:13"
"73";74;"paraBFS";799945;"vector";"barabasi";"080k.edges";"joshua";80000;25,655286;16;"2018-08-29 12:24:34"
"74";75;"paraBFS";699945;"vector";"barabasi";"070k.edges";"joshua";70000;18,033074;20;"2018-08-29 12:24:48"
"75";76;"paraBFS";699945;"vector";"barabasi";"070k.edges";"joshua";70000;35,325484;8;"2018-08-29 12:24:34"
"76";77;"paraBFS";799945;"vector";"barabasi";"080k.edges";"joshua";80000;33,009827;12;"2018-08-29 12:24:50"
"77";78;"paraBFS";799945;"vector";"barabasi";"080k.edges";"joshua";80000;21,525452;20;"2018-08-29 12:25:17"
"78";79;"paraBFS";799945;"vector";"barabasi";"080k.edges";"joshua";80000;49,104992;8;"2018-08-29 12:25:23"
"79";80;"paraBFS";9945;"vector";"barabasi";"001k.edges";"joshua";1000;0,008751;24;"2018-08-29 12:34:36"
"80";81;"paraBFS";19945;"vector";"barabasi";"002k.edges";"joshua";2000;0,013911;24;"2018-08-29 12:34:36"
