_id;algorithm;edges;graphRepresentation;graphType;instance;machine;nodes;runtime;threads;timestamp
27;BFS tails;1999;map;barabasi;002k.edges;dell;2000;0.082526;1;13-07-2018 09-33-42
28;BFS tails;3999;map;barabasi;004k.edges;dell;4000;0.351895;1;13-07-2018 09-33-43
29;BFS tails;7999;map;barabasi;008k.edges;dell;8000;1.333136;1;13-07-2018 09-33-43
30;BFS tails;9999;map;barabasi;010k.edges;dell;10000;2.215126;1;13-07-2018 09-33-44
31;BFS tails;19999;map;barabasi;020k.edges;dell;20000;9.942460;1;13-07-2018 09-33-46
32;BFS tails;29999;map;barabasi;030k.edges;dell;30000;23.806406;1;13-07-2018 09-33-56
33;BFS tails;39999;map;barabasi;040k.edges;dell;40000;45.060646;1;13-07-2018 09-34-20
